Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.51     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00      6.51     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_allocate(std::allocator<char>&, unsigned long)
  0.00      6.51     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00      6.51     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00      6.51     0.00     1460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::end() const
  0.00      6.51     0.00     1460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::begin() const
  0.00      6.51     0.00     1204     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.51     0.00     1202     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      6.51     0.00     1202     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      6.51     0.00     1200     0.00     0.00  checksum_label(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      6.51     0.00     1200     0.00     0.00  format_route_label[abi:cxx11](RouteRequest const&, int)
  0.00      6.51     0.00     1200     0.00     0.00  __gnu_cxx::__normal_iterator<RouteRequest*, std::vector<RouteRequest, std::allocator<RouteRequest> > >::operator*() const
  0.00      6.51     0.00     1200     0.00     0.00  __gnu_cxx::__normal_iterator<RouteRequest*, std::vector<RouteRequest, std::allocator<RouteRequest> > >::operator-(long) const
  0.00      6.51     0.00     1200     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Point*>(Point*, Point*)
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_allocate(unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl(std::allocator<Point> const&)
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::~_Vector_impl()
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_deallocate(Point*, unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_create_storage(unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl_data::_Vector_impl_data()
